Job Title,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Industry,Sector,Revenue,Competitors
Data Scientist / Software Engineer (w/m/x),"Wir bei 7LYTIX haben spannende, neue Projekte z.B. im Bereich Predictive Analytics, Bildanalyse, Dynamic Pricing oder autonomes Fahren, denn modernste Methoden der Daten-Analyse verhelfen unseren Kunden zu einem erheblichen Wettbewerbsvorteil. Für unser internationales Team suchen wir weitere Data Scientists - gerne auch Senior Data Scientists - mit abgeschlossenem technischem oder naturwissenschaftlichem Studium und erster Berufserfahrung für eine Vollzeitanstellung (38,5 h).
Deine Aufgaben
Entwicklung von Algorithmen und Software für obige Projekte
Explorative und prädiktive Analysen komplexer Datenmengen
Erklärung und Interpretation der Resultate mittels Datenvisualisierung
Dein Profil
Abgeschlossenes Bachelor- oder Master-Studium in den Bereichen:
(Bio)Informatik / Mathematik / Statistik / Physik etc.
Jedenfalls ausgezeichnete Kenntnisse in Python (insbesondere Scikit-learn und Pandas),
gerne auch Kenntnisse in R oder ähnlichen, numerisch orientierten Programmiersprachen
Erfahrung in der Softwareentwicklung, z.B. mit SQL/NoSQL Datenbanksystemen, Hadoop/Spark, Open Source ML-Tools
Erfahrung mit neuronalen Netzen, z.B. TensorFlow, Keras, PyTorch
Du schreckst auch vor komplexen Datensätzen nicht zurück und kennst dich aus mit Software Engineering und objektorientierter Programmierung
Unser Angebot
Ausgezeichnete Entwicklungsperspektiven in einer innovativen Branche und einem sympathischen Unternehmen
Teamorientiertes Arbeitsklima, flache Hierarchien und kurze Entscheidungswege
Hervorragende Entwicklungsmöglichkeiten für engagierte Persönlichkeiten
Unser Budget für dich beträgt zwischen € 2.700,- und 3.300,- Monatsbrutto. Je nach beruflicher Erfahrung und Qualifikation vielleicht auch mehr.",-1,7LYTIX,Linz,-1,Unknown,-1,-1,-1,Less than $1 million (USD),-1
Senior Data Scientist (f/m/d),"If you are curious to work with innovative products, passionate about data and highly skilled to grow with us to the next level, it’s the right opportunity for you!
We are looking for an experienced Senior Data Scientist who will be responsible for identifying and driving product initiatives and development that increase the business value our clients receive from using our solutions.

WHAT YOU CAN LOOK FORWARD TO WITH US

FREE COFFEE & TEA ORGANIC FRUIT FLEXIBLE WORKING TIME HOME OFFICE A MODERN AND
STYLISH OFFICE SPACE NO DRESSCODE

ERGONOMIC
WORKSPACE TEAM ACTIVITIES GREAT INTERNATIONAL
& DIVERSE TEAM CUTTING-EDGE
TECHNOLOGY FLAT STRUCTURES A WILD RIDE
WHAT YOU'LL DO:
Identify opportunities for leveraging company data to drive business solutions.
Mine and analyze data from company databases to drive optimization and improvement of product development
Analyze and validate data using data and statistical tools to ensure high data quality and reliable insights
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes
Develop processes and tools to monitor and analyze performance and data accuracy

WHAT YOU’LL NEED:
Minimum 5 years of experience in a data-related technical role with SaaS companies or similar
Experience with leveraging statistical models and visual analytics.
Excellent communication skills with scientists, engineers, and non-technical audiences
Experience with big data and object-oriented programming languages (Python, Ruby, Perl, Java, etc.)
Experience in data mining using databases in a business environment with large, complex data sets
Experience in gathering requirements and formulating business metrics for reporting.
BS or MS in Math, Statistics, Engineering or equivalent practical experience is a plus
ARE YOU READY TO APPLY?

The collective agreement minimum salary for this position on a full-time basis is € 3.565 gross per month (14 times) for 38.5 hours per week. In addition, we offer the willingness to make an overpayment in line with the market depending on your qualifications and professional experience.

Point of Contact
Szilvia Lukacs
szilvia.lukacs@adverity.com
+43 1 8903155-13

Adverity is an intelligent marketing analytics platform enabling data-driven marketers to make better decisions and improve performance, faster and easier. By transforming siloed data into actionable insight, Adverity reduces the complexity involved in demonstrating ROI of marketing spend.

With the help of powerful data visualizations, this vendor-agnostic, end-to-end platform uncovers real-time opportunities to fuel growth with augmented analytics. Founded in 2014, Adverity powers the marketing intelligence of some of the world’s leading brands and agencies, including IKEA, Red Bull, GroupM, Unilever, Omnicom, Barilla, JD Sports and Forbes. The company is headquartered in Vienna, and has offices in London and New York.",4.9,"Adverity
4.9",Gerasdorf bei Wien,-1,51 to 200 Employees,2015,Information Technology,Enterprise Software & Network Solutions,Unknown / Non-Applicable,-1
Junior Big Data Engineer/Cloud Developer (f/m/x),"International business requires an international corporate philosophy. Are you open to new ideas and do you value cultural diversity? At Raiffeisen Bank International, we are pleased to have more than 16 million customers in 13 CEE countries. And our journey continues – with exciting new issues for us to tackle such as digitalisation and changing customer needs. Join us on our journey.
Junior Big Data Engineer/Cloud Developer (f/m/x)
As Big Data Engineer you will act in between data providers, data architects and data consumers across CEE to plan and build cloud infrastructure that is able to host all available data in various speeds. You will be in charge for solution definition and the road from an idea to the final implementation. Additionally, in the evolution of data hosting you will be part of rapid prototyping of new ways of data acquisition and the consumption for big data projects.

What you can expect:
Collaborate with data and analytics experts to strive for greater functionality in our data lake eco-system
Design and implement the infrastructure required for optimal data acquisition, hosting and consumption of data from a broad variety of data sources using SQL and AWS big data technologies (DevOps & Continuous Integration)
Become a SPOC in between different big data/cloud teams to set new company standards and share code horizontally between delivery teams
Monitor the capabilities of the data lake platform to make sure they deliver intended customer value
Being part of an agile delivery team that implements in a high pace features for the bank to make data available
What you bring to the table:
Hands on experience with Hadoop technologies (Hortonworks and Cloudera preferred, AWS Cloud as advantage) in building data ingestion and transformation
Profound experience in designing and developing solutions in Python
Hands on experience with CD / DevOps methodology and good overview of related tools or tool chains
Good understanding of data and what can be done with data engineering
Fluent English; German or another CEE language is appreciated, but not mandatory
Proactivity; Curiosity; Responsibility; Ideas & Confidence
What we offer:
You’ll work in an international team at a leading bank
You’ll benefit from flexible working arrangements and determine your own work-life balance
You’ll benefit from the very latest in tailored professional development
You’ll earn an appropriate salary starting at EUR 41.500,00 gross p.a. including overtime, additional payment according to skills and experience

RBI AG is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ethnicity, race or color, national origin, religion, political or other opinion, gender, sexual orientation or disability.
We are looking forward to receiving your online application!",4.1,"Raiffeisen Bank International
4.1",Österreich,-1,10000+ Employees,1991,Finance,Investment Banking & Asset Management,$10 to $25 million (USD),-1
Data Analyst/Data Scientist (m/w),"Der jö Bonus Club als größter Kundenclub Österreichs wurde 2018 als eigenständiges Unternehmen der REWE Group Österreich etabliert. Mit nur einer Kundenkarte, der jö Karte bzw. der jö App, können die über zwei Millionen jö Mitglieder in ganz Österreich seit Mai 2019 beim Einkauf Ös sammeln und diese für zahlreiche Vorteile bei allen teilnehmenden jö Partnern einlösen.

QUALIFIKATIONEN, DIE WIR BELOHNEN
Abgeschlossene technische oder wirtschaftliche Ausbildung (HTL, TU, WU, FH: Informatik, Data Science/Management, Wirtschaftsinformatik) oder vergleichbare Berufserfahrung
Einschlägige Berufserfahrung in den Bereichen Datenanalyse und BI
Kenntnisse von Visualisierungstools und -methoden (Tableau, Power BI)
Idealerweise Erfahrung in Auswertung und Analyse großer Datensätzen
Sehr gute Kenntnisse in SQL, Erfahrung mit Oracle und R von Vorteil
Hohe Teamorientierung gepaart mit einer selbständigen Arbeitsweise
HERAUSFORDERUNGEN, DIE SIE MEISTERN
Auswertungen von kontinuierlich anfallenden Daten des Multipartner-Kundenbindungsprogramms
Datenauswertung aus verschiedenen Branchen
Analysen von großen Datenmengen aus verschiedenen Quellen
Selbständige Erstellung von Berichten für die Partner des Programms
Mitarbeit bei der Erstellung und Optimierung der Datenvisualisierung (Dashboards) mit Tableau
Mitentwicklung von Konzepten zur Monetisierung unserer Analytics Dienstleistungen
Gemeinsam für ein besseres Leben:
ANGEBOTE, DIE SIE BEGEISTERN
Abwechslungsreiche Aufgabenstellungen kombiniert mit Planbarkeit des Privatlebens
Dynamische Startup-Atmosphäre mit allen Vorteilen eines führenden Handelsunternehmens
Modernes Office mit Raum für innovative Ideen und abwechslungsreiche Meeting- und Arbeitsplatzgestaltung
Gute öffentliche Erreichbarkeit

Da wir auf Diversität setzen, freuen wir uns auch über Bewerbungen von Menschen mit Behinderung.

Rückfragen gerne an
Recruiting Center REWE Group / Zentrale +43 2236 600 6283 jobs@rewe-group.at",3.7,"REWE International AG
3.7",Wien,-1,10000+ Employees,1927,Retail,Grocery Stores & Supermarkets,$10+ billion (USD),-1
Data Scientist (f/m/d),"Willkommen bei Vorwerk
Data Scientist (F/M/D)
Wir sind ein Unternehmen der Vorwerk-Gruppe. Weltweit produzieren und verkaufen unsere Mitarbeiter und selbstständigen Fachberater qualitativ hochwertige Haushaltsgeräte im Premiumbereich. Mit unseren erfolgreichen Marken Kobold und Thermomix begeistern wir seit über 55 Jahren Kunden in ganz Österreich.

Sie beherrschen die Kunst mit Daten Dinge zu sehen, die anderen verborgen bleiben? Dann bewerben Sie sich als Data Scientist, werden Teil unseres Teams und sichern mit uns gemeinsam den langfristigen Erfolg unseres Unternehmens in unserer Zentrale in Wien.

Mehr unter vorwerk.at
ihr Aufgabengebiet:
Sie sind maßgeblich dafür verantwortlich eine strukturierte Datenbasis zu schaffen, zu analysieren und am Ende mit Ihrem betriebswirtschaftlichen Knowhow eine Entscheidungsgrundlage für die Geschäftsführung zu schaffen.
Sie identifizieren und untersuchen strukturierte und unstrukturierte Datenquellen. Dazu kann auch die Implementierung eines Trackings und das Monitoring von Daten gehören.
Sie entwickeln neue analytische Methoden, um die Datenbasis optimal zu analysieren.
Auf Grundlage der Analyse von Mustern in der Vergangenheit erstellen Sie Prognosen für die Zukunft.
Ihr tiefes Verständnis für unternehmens-relevanten Prozesse ermöglicht es Ihnen Empfehlungen auszusprechen und Handlungsimplikationen zu geben.
IHR Profil:
Studium eines MINT-Fachs (Mathematik, Informatik, Naturwissenschaften, Technologie) oder eine IT-Ausbildung
+3 Jahre Praxis im Data Management (SQL/NoSQL) und entsprechender Programmierung
Erfahrungen und Umgang mit R und Python, SAS, und Hadoop, sowie andere objektorientierte Programmiersprachen wünschenswert
Strukturiertes und analytisches Denkvermögen
Hohe Abstraktionsfähigkeit und Kommunikationstalent, um Ergebnisse Kollegen und Vorgesetzten schnell und verständlich vermitteln zu können
Als Data Scientist bist Du eine Mischung aus 4 Typen: Dem Kommunikationstalent, dem Statistiker, dem Programmierer und dem Business-Experten
wir bieten:
Eine spannende, vielseitige und herausfordernde Tätigkeit in einem modernen Umfeld
Ein motiviertes und offenes Team
Interne und externe Weiterbildungsmöglichkeiten
Leistungsgerechte Entlohnung (ab 40.000,00 € Brutto p.a. Überzahlung nach Ausbildung und Erfahrung)

Bewerben Sie sich jetzt mit mit Ihren vollständigen Bewerbungsunterlagen bei:
Kontakt:
Vorwerk Austria GmbH & Co. KG
Michelle Da Costa
Schäfferhofstraße 15
6971 Hard
+43 505800 140
http://www.vorwerk.at
Arbeitswelt Vorwerk

Weitere Stellen

Bewerbung Online",3.4,"Vorwerk Austria GmbH & Co. KG
3.4",Wien,-1,10000+ Employees,1883,Manufacturing,Consumer Products Manufacturing,$2 to $5 billion (USD),-1
Data Engineer/Data Scientist (m/f/d) – Standort,"Data Engineer/Data Scientist (m/f/d) – Standort Wien*
Firmenbeschreibung: *
Applied Statistics ist eine auf Datenverarbeitung und Analyse spezialisierte Firma. Wir entwickeln maßgeschneiderte Lösungen und beraten unsere Kunden, von der produzierenden Industrie bis hin zu Logistikunternehmen. Unsere Themenfelder bewegen sich dabei von der Daten getriebenen Entscheidungsfindung über statistische Optimierung bis hin zu Condition Monitoring und Predictive Maintenance. Nach unserem Motto „Understand, Analyse, Implement“ begleiten wir unsere Kunden von der ersten Konzeption bis hin zur Umsetzung von Digitalisierungsanwendungen im Bereich Data Science und Machine Learning.
Jobbeschreibung: *
Vollzeit mit Arbeitsort Wien und Reisebereitschaft
Lösungsdesign und Umsetzung innovativer Digitalisierungslösungen mit Fokus auf Predictive Maintenance, Machine Learning und Artificial Intelligence
Datenverarbeitung und Datenhaltung von strukturierten und unstrukturierten Daten
Enge Projektzusammenarbeit mit verschiedensten Kunden aus dem Industriebereich, um den Rohstoff Daten in echten Business Value zu transformieren
Mitarbeit in einem hoch motivierten agilen Team
Ständige Weiterentwicklung deiner Skills dank spannender Tätigkeiten im innovativen Neuland
Anforderungen Junior: *
MSc in relevanter Studienrichtung (Statistik, Mathematik, Informatik oder Ähnliches)
0-2 Jahre Berufserfahrung
Grundlegende Kenntnisse statistischer Methoden und Data Wrangling
Programmierkenntnisse im Data Science Kontext (R oder Python)
(optional) Erfahrung mit Datenbanken
(optional) Erfahrung mit Cloud Computing, Docker und Dev Ops
(optional) Erfahrung mit BI Tools / App Entwicklung
Anforderungen Professional: *
MSc/PhD in relevanter Studienrichtung (Statistik, Mathematik, Informatik oder Ähnliches)
3-5 Jahre Berufserfahrung, davon 2 Jahre in einer Data Engineering Rolle
Programmiererfahrung im Data Science Kontext (R oder Python); Entwicklungen für Produktivumgebungen in mindestens einer Programmiersprache
Fundierte Statistik Kenntnisse und Erfahrung mit maschinellem Lernen
Erfahrung mit Datenbanken und Data Warehousing Konzepten
Grundlegende Kenntnisse über Projektmangement und agile Methoden
People Skills und Erfahrung im Kundenkontakt
(optional) Erfahrung mit Cloud Computing, Docker und Dev Ops
(optional) Big Data Erfahrung mit HADOOP, Spark, etc.
Darüber hinaus suchen wir folgende Eigenschaften …*
Hohes analytisches Denkvermögen und hohe Problemlösungskompetenz
Umsetzungsstärke, Kreativität, Zuverlässigkeit und hohe Eigeninitiative
Bereitschaft zur ständigen Weiterentwicklung und dem Erlernen neuer Technologien
Gute Deutsch- und Englischkenntnisse
Wir bieten: *
Herausfordernde und vor allem abwechslungsreiche Tätigkeiten in einem jungen und dynamischen Team
Flexible Arbeitszeiten & ein modernes Arbeitsumfeld mit Remote Working & Work – Life balance
Ein kollektivvertragliches Jahresbruttogehalt von mindestens EUR 35.252 bis 49.910 mit Bereitschaft zur Überzahlung entsprechend der Erfahrung und Qualifikation
Wir freuen uns auf deine aussagekräftige Bewerbung!

Zusätzliche Leistungen:
Home Office
Flexible Arbeitszeiten
Kostenlose Getränke
Weihnachtsgeld
Urlaubsgeld
Weiterbildung
Bonus
Art der Stelle: Vollzeit, Festanstellung

Gehalt: 35.252,00€ - 49.910,00€ pro Jahr

Ausbildung:
Magister/Master (Erforderlich)
Sprache:
Deutsch (Bevorzugt)
Englischkenntnisse:
Konversationssichere oder gute Kenntnisse (Bevorzugt)
Homeoffice:
Temporär, aufgrund von COVID-19",1.0,"Applied Statistics
1.0",Wien,-1,1 to 50 Employees,1982,Information Technology,Enterprise Software & Network Solutions,$10 to $25 million (USD),-1
Senior Data Scientist (Digital Manufacturing) (m/w/d),"Für den weiteren Ausbau unseres Teams suchen wir einen Senior Data Scientist (Digital Manufacturing) (m/w/d) für unseren Standort in Wien.

Aufgaben

• Lieferung von Data Science Projekten im Digital Manufacturing auf Produktionebene

• Erstellung von Anforderungsanalysen und Erfassung von Daten

• Bereitstellung der Lösungsarchitektur

• Erstellen von Custom Deep Learning Modellen basierend auf Open-Source Tools mit Fokus auf Computer Vision

Fähigkeiten und Anforderungen

• Abgeschlossenes Studium in Mathematik, Statistik, Data Science, Informatik oder ähnlicher Fachrichtung und mindestens 3 Jahre Berufserfahrung

• langjährige Berufserfahrung im Bereich Machine Learning und Data Science (Hands-On)

• Erfahrung mit AI in der Cloud, vorzugsweise Azure (AWS, GoogleCloud, …)

• Sehr gute Kenntnisse in Python, R und in Datenspeicherungssystemen (SQL/NoSQL databases, datalake, etc.)

• Erfahrung in Digital Manufacturing bzw. im Produktionssektor von Vorteil

• Erahrung in IoT und Industrie 4.0 in Projektarbeiten von Vorteil

• Sehr gute Deutsch- und Englischkenntnisse

• Flexibilität und Mobilität (Reisebereitschaft von 80%)

Benefits

• Persönliche Weiterentwicklung in einem hoch professionellen Umfeld im Bereich der IT-Beratung

• Vielfältige Karrieremöglichkeiten durch die Arbeit innerhalb eines international erfolgreich tätigen Unternehmens

• Persönliches Profitieren von umfangreichen Weiterbildungsmöglichkeiten

• Möglichkeit, international Projekterfahrung zu sammeln und Netzwerke aufzubauen

• Spannende Firmenevents und ein dynamisches Team

Kollektivvertrag für Angestellte in Information und Consulting. Geboten wird ein Jahreszielgehalt zwischen EUR 50.000 und EUR 70.000 brutto mit marktkonformer Überzahlung abhängig von Qualifikation und Erfahrung.",3.9,"Capgemini
3.9",Gerasdorf bei Wien,-1,10000+ Employees,1967,Information Technology,Enterprise Software & Network Solutions,$10+ billion (USD),-1
Data Scientists (m/f/d),"About Us

We are a small company starting to make big waves in healthcare, both within Austria and beyond. We are looking for enthusiastic, talented, and hard-working data scientists to expand our team. Benefits include a flexible and cheerful work environment, a steady stream of interesting and challenging problems demanding your A-game, and the chance to use your skills to make a positive impact on the world around you, from day one.

Required
A degree (preferably PhD with PostDoc experience) in physics, mathematics, statistics, or a
related technical field with a quantitative component and a firm grasp of probability theory
Outstanding analytic, modelling, and conceptual skills
5+ years of experience in working in collaborative software projects with shared code base,
especially in a scientific/technical capacity with a focus on data and machine learning
Prior experience with time series/signal analysis, unsupervised representation learning,
and/or Bayesian analysis is a big plus
Ability and willingness to constantly learn and master state-of-the-art methods, languages,
and frameworks
Team Player that loves to tackle hard problems in a collaborative atmosphere
English (at least C1)

Your main job will be the identification of use cases based on business/customer requirements and
the development of prototype algorithms as well as supporting the process of turning these into
production-ready, high-quality systems.
Our analytics team works primarily in R, Stan, and Python within Docker/Kubernetes in the Google
Cloud environment (headless Unix-like OS). Prior knowledge of R or Python is a definite plus, but is
not strictly required.

What we offer
Outstanding team with dedicated and passionate colleagues from diverse fields
Working at the interface between research and practice
Working on problems with a high impact on society
High flexibility and self-responsibility
Many opportunities for personal development
An excellent working atmosphere
A competitive salary (at least € 5.000 brutto/month)
Offices in Linz, Graz, and Vienna – home office from abroad negotiable
Interested?

Awesome!

Send us your CV along with anything else which might impress us to: a.diensthuber@solgenium.com,

.",-1,Solgenium OG,Linz,-1,1 to 50 Employees,2015,Information Technology,Internet,Unknown / Non-Applicable,-1
Big Data Engineer/Cloud Developer (f/m/x),"International business requires an international corporate philosophy. Are you open to new ideas and do you value cultural diversity? At Raiffeisen Bank International, we are pleased to have more than 16 million customers in 13 CEE countries. And our journey continues – with exciting new issues for us to tackle such as digitalisation and changing customer needs. Join us on our journey.
Big Data Engineer/Cloud Developer (f/m/x)
As Big Data Engineer you will act in between data providers, data architects and data consumers across CEE to plan and build cloud infrastructure that is able to host all available data in various speeds. You will be in charge for solution definition and the road from an idea to the final implementation. Additionally, in the evolution of data hosting you will be part of rapid prototyping of new ways of data acquisition and the consumption for big data projects.

What you can expect:
Collaborate with data and analytics experts to strive for greater functionality in our data lake eco-system
Design and implement the infrastructure required for optimal data acquisition, hosting and consumption of data from a broad variety of data sources using SQL and AWS big data technologies (DevOps & Continuous Integration)
Become a SPOC in between different big data/cloud teams to set new company standards and share code horizontally between delivery teams
Monitor the capabilities of the data lake platform to make sure they deliver intended customer value
Being part of an agile delivery team that implements in a high pace features for the bank to make data available
What you bring to the table:
About 3 years of experience in implementing integration components and applications, especially in the area of big data / cloud projects or systems integration
2 or more years of Hadoop experience (Hortonworks and Cloudera preferred, AWS Cloud as advantage) in building data ingestion and transformation
Professional experience in designing and developing solutions in Python
Profound experience with CD / DevOps methodology and good overview of related tools or tool chains
Good understanding of data and what can be done with data engineering
Fluent English; German or another CEE language is appreciated, but not mandatory
Proactivity; Curiosity; Responsibility; Ideas & Confidence
What we offer:
You’ll work in an international team at a leading bank
You’ll benefit from flexible working arrangements and determine your own work-life balance
You’ll benefit from the very latest in tailored professional development
You’ll earn an appropriate salary starting at EUR 60.000 gross p.a. including overtime, additional payment according to skills and experience

RBI AG is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ethnicity, race or color, national origin, religion, political or other opinion, gender, sexual orientation or disability.
We are looking forward to receiving your online application!",4.1,"Raiffeisen Bank International
4.1",Österreich,-1,10000+ Employees,1991,Finance,Investment Banking & Asset Management,$10 to $25 million (USD),-1
Expert Data Scientist,"Aviteus Recruiting rekrutiert für nationale und internationale Kunden Fach- und Führungskräfte. Unser Auftraggeber ist ein mittelständisches Unternehmen im Bereich Handel, welches zu den etabliertesten, attraktivsten und größten Unternehmen in seiner Branche zählt. Aufgrund der hervorragenden Unternehmensentwicklung wird das Business Development erweitert. Wir rekrutieren für die Position “Expert Data Scientist ” in Vollzeit und für eine Festanstellung in Wien.",-1,Aviteus,Wien,-1,1 to 50 Employees,2013,Business Services,Staffing & Outsourcing,Unknown / Non-Applicable,-1
DATA SCIENTIST (m/f/x),"Full-time (38,5h), Location: Vienna, Austria

Would you like to shape the future of urban life?

Are you a hands-on person who loves data and is ready to take a leading role in an international team that is improving shared mobility services globally?

Join Ubiq and work on products that enable mobility services around the world to be more efficient, sustainable and profitable. We are building a continuously growing crowd user base and enabling a more effective mobility service across cities through car sharing fleet optimization. To develop our services further we are looking for a Data Scientist to join our team and lead the efforts in this area.

Your role...

Handling geospatial data related to our Streetcrowd and Smart Parking Service

Developing spatio-temporal models of car-sharing fleet operations

Coming up with new approaches for improving our service and measuring its impact

Driving the automation of pipelines

Testing and tuning statistical models

Preparing powerful visualizations and computing performance metrics

Evaluating the quality of current data sources & continuously looking for better ones

Conducting data analyses

Presenting relevant analyses and models to clients when needed

Being the go-to person for data science topics for our Project Managers

Guiding and coaching more junior members of the team on data science tasks

What we are looking for...

You enjoy working in a team but are not afraid to work independently. You love to come up with new ideas, try them & see them develop. The more skills you can cover from this list, the better:

3+ years of experience working as a Data Scientist

Field of study: Statistics, Applied Mathematics, Computer Science or a related field focused on predictive modelling and quantitative analysis.

Solid knowledge of R and libraries for data processing

Able to apply data science concepts to real-world products (e.g. transformation of an R sandbox to a production service)

Linux and Bash Scripting knowledge is a plus

Experience with handling data from different sources & stored in different formats

Experience with Postgres & PostGIS is a plus

What we are offering...

The opportunity to a shape a fast-growing start-up & take a leading role in it

Working with international clients in the mobility field

A fantastic team with lots of start-up spirit and English as the working language

Flexible work setup - healthy balance between office & remote work

Continuous training & learning support (events, trainings, courses, etc.)

Top equipment, incl. individual equipment budget for special requests, company phone, company e-scooters, etc.

Free fruits, snacks and drinks

Regular team events

Competitive salary, starting from EUR 45.000,- gross/ year. The actual salary will be determined individually based on your qualifications and experience.

Interested?

We are looking forward to your application and a more detailed discussion about the position. Send us your CV, including a description of why you are the right person for this role to jobs@ubiq.ai. Please also share your earliest possible starting date & salary expectation. -
Our team is based in Vienna, Austria and we work in the office and from home, particularly in these special times. That mix works best for us. If there is an exceptionally good fit, (fully) remote candidates will be considered.",4.0,"Ubiq
4.0",Gerasdorf bei Wien,-1,1 to 50 Employees,2001,Retail,"Department, Clothing, & Shoe Stores",Less than $1 million (USD),-1
Senior Data Scientist (f/m/d),"Technological innovations have fundamentally changed the game. Today, our digitally savvy customers demand a premium experience across all channels and touchpoints. And that’s where Erste Group’s IT entities come into play. We believe that the future of banking is digital and we want to be among the creators and innovators who redefine it. We are ready to go the extra mile to wow our clients. You do too? Then hit the “apply now” button.

Senior Data Scientist (f/m/d)
Erste Group IT International (EG IT INT) is the IT service provider of Erste Group, supplying solutions to all entities. It provides development, implementation and integration as well as operation of group-wide solutions. Aimed at offering the best service at the best price, EG IT INT plays a key strategic role within Erste Group.

We are looking for a Senior Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.

In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for data, modeling and algorithms.

Your goal will be to help our company analyze trends to make better decisions.

Your Tasks

You deliver data science assignments and tasks in data driven projects/ programs in which learning from data and getting added value from data insights has a significant part (Innovation, Big Data, Data Science and AI, Data Analytics projects and similar)
You are ready to deliver independently simple and complex tasks and assignments, not only within his specification
You show genuine curiosity and thinking about innovative problem solutions
You collaborate together with our business units to identify and deliver solutions for critical business challenges
You deliver and support in all phases of the full Data Science process, but with different level of expectations and allocation, depending on the concrete project/prototype like business understanding, analytic approach, data requirements and collection, data understanding, modelling and algorithms, evaluation and interpretation, deployment and solution development support and monitoring and tuning support

Your Background

You have a Bachelor’s or Masters degree with a focus on quantitative disciplines

You have a good understanding of common machine learning algorithms and ability to teach junior data scientists across the organization

Your understanding of banking business is good

You are experienced in Data Analytics and Visualization Tooland have knowledge in machine learning areas (NLP, deep learning, etc.)

You gained advanced knowledge in Big Data Ecosystem components (SQOOP, HIVE, IMPALA, OOZIE, KUDU, etc.), and Cloud technologies (MS Azure, AWS)

You have knowledge of Python, R, SPARK, KNIME, etc. and first hand experience in visualization tools like Tableau, QLIK, R Shiny

You are able to handle the full data science lifecycle incl. deployment and operation of analytical models.

Your language skills: English full professional proficiency

Our Offer
We offer an autonomous and diversified position in an experienced team with international experience.
We support your professional and personal development at all times. Our employees appreciate attractive career opportunities, flexible working hours, numerous social benefits and a professional working atmosphere.

A competitive and performance-related salary dependent on your professional and personal qualifications is granted - the minimum wage for this position in accordance with the respective collective agreement is EUR 49.910,- gross per year

Erste Group considers the diversity of its employees as key to innovation and success. As employer we are proud to offer everyone equal chances, irrespective of age, skin colour, religious belief, gender, sexual orientation or origin

Discover and enjoy the benefits of Erste Group

Interested?

We are looking forward to fill the position at the earliest possible date - apply now! #believeinyourself

Degree of Employment: Full-Time

Primary Location: Vienna

Online bewerben

Follow us on:",-1,Erste Group IT International GmbH,Österreich,-1,-1,-1,-1,-1,-1,-1
