job_title_orig,job_description,rating,company_name,location,size_orig,founded,industry,sector,revenue_orig,job_title,title_simple,seniority,salary,company,revenue,size,python,sql,spark,excel,tableau,hadoop,spss,r,statistics,company_age
Data Engineer,"Wenn Sie gemeinsam mit uns interessante und herausfordernde Projekte umsetzen wollen und eine attraktive sowie abwechslungsreiche berufliche Tätigkeit suchen, sind Sie bei Brunel richtig. Bei uns bauen Sie branchenübergreifendes Fachwissen auf und qualifizieren sich so auf einer breiten Basis, branchenunabhängig und flexibel für den weiteren Karriereweg. Bewerben Sie sich noch heute als Data Engineer für den Raum Salzburg, Oberösterreich; Tirol, Vorarlberg oder Bayern und entdecken Sie mit Brunel die Vielfalt des Engineerings.

Ihre Aufgabe

Im Rahmen dieser Position sind Sie für die Entwicklung neuer Features für unsere Datenanalyse-Plattformen gemeinsam mit Data Scientists, internen Auftraggebern und unserem Infrastruktur-Team zuständig.
Sie erarbeiten technische Konzepte, automatisieren Prozesse rund um Continuous Delivery und sind für die Sicherstellung der Qualität verantwortlich.
Der Betrieb und die Wartung der Open-Source-basierten Produkte in einer Private Cloud Umgebung und auf VMware als Teil eines engagierten DevOps-Teams runden Ihr Aufgabengebiet ab.

Ihr Profil

Fundierte abgeschlossene IT-Ausbildung (HTL, FH, Uni) oder Ähnliches
Erfahrung mit Java und Open-Source-Frameworks wie Spring sowie grundlegende Linux-Kenntnisse
Interesse an datengetriebener Softwareentwicklung basierend auf Elasticsearch, Spark, Docker und Python

Wir Bieten

Arbeiten bei Brunel bedeutet Vielfalt – vom mittelständischen Unternehmen über Hidden Champion bis zum Groß-Konzern.

Das bedeutet für Sie….

… unbefristeter Dienstvertrag;

… ein variables Gleitzeitmodell;

… diverse Fort- und Weiterbildungsmöglichkeiten

… und gesicherte Sozialleistungen.

Wir weisen darauf hin, dass das kollektivvertragliche Mindestgehalt € 37.000,- brutto p.a. beträgt. Unsere tatsächlichen Gehaltspakete orientieren sich an aktuellen Marktgehältern und berücksichtigen Ihre Qualifikation und Erfahrung.Haben wir Ihr Interesse geweckt?

Bachelor of Science/ Engineering/ Arts Universität",3.8,"Brunel
3.8",Salzburg,10000+ Employees,1975,"Oil, Gas, Energy & Utilities",Utilities,$1 to $2 billion (USD),data engineer,data engineer,na,37000.0,Brunel,8,7.0,1,0,1,0,0,0,0,0,0,45
Data Scientist / Researcher für NLP,"Data Scientist / Researcher für NLP
Sie haben bereits gute Kenntnisse und/oder großes Interesse im Bereich der Analyse von natürlichsprachlichen Datensätzen, ein hohes Interesse an Forschung und Entwicklung und arbeiten ausgesprochen gerne in themenübergreifenden Teams? Dann möchten wir Sie kennenlernen!
Aufgabe:

Gemeinsam mit unseren PartnerInnen aus der Forschung und Industrie arbeiten wir an innovativen Themen rund um Artificial Intelligence (und die Anwendung mittels Machine Learning, Natural Language Processing und Information Retrieval). Dabei entwickeln wir langfristige Forschungs- sowie Entwicklungskooperationen und unterstützen unsere PartnerInnen bei der Realisierung von einfachen Prototypen bis hin zur Implementierung von vollständigen Kunden-Endlösungen.

Mitarbeit in spannenden Forschungsprojekten in unterschiedlichsten Anwendungsfeldern von der Halbleiterfertigung über Automotive, Energiesektor bis hin zu medizinischen Informationssystemen (Life Science, Health Care)
Aktive Mitgestaltung der Projekte bis hin zur Beantwortung wissenschaftlicher Fragestellungen anhand kreativer Lösungswege
Einsatz von mathematisch-statistischen Werkzeugen in den Bereichen mehrsprachige/s Textmining/ Textanalyse/ Natural Language Processing
Kontinuierliche Entwicklung von neuen Analyseverfahren im Sinne von anwendungsorientierter Forschung im Bereich Deep Learning und anderer Machine Learning Techniken
Qualifikationen:
Laufendes oder abgeschlossenes Studium der Informatik, Softwareentwicklung, Telematik, Mathematik, Statistik oder ein vergleichbares naturwissenschaftliches/technisches Studium
Erfahrung in Analyse- und Modellierungsverfahren
Gute statistisch-mathematische Kenntnisse
Gute Kenntnisse in Programmier- und Skriptsprachen wie Java, Python, R oder Matlab
Linguistik-Kenntnisse von Vorteil
Teamfähigkeit, Selbständigkeit und ein hohes Maß an Kommunikationsfähigkeit
Deutsch-Kenntnisse auf muttersprachlichem Niveau, sehr gute Englisch-Kenntnisse
Wir bieten:
Innovative Aufgabenstellungen im faszinierenden Umfeld der angewandten Forschung
Abwechslungsreiche Lösungsansätze und unterschiedlichste Projektverläufe
Arbeiten im universitären Umfeld am Campus Inffeldgasse der TU-Graz
Zukunftsorientierte und innovative Arbeitsumgebung
Möglichkeiten zur beruflichen und persönlichen Weiterentwicklung
Sehr gute Work-Life-Balance sowie gute Arbeitsatmosphäre

Das kollektivvertragliche Mindestgehalt für Vollzeit beträgt EUR 2.518,- brutto pro Monat (14-mal pro Jahr). Die Bereitschaft zur Überzahlung in Abhängigkeit von Qualifikation und Erfahrung ist vorhanden.

Wir freuen uns auf Ihre Bewerbung unter career@know-center.at.",3.1,"Know-Center
3.1",Graz,51 to 200 Employees,-1,-1,-1,Less than $1 million (USD),data scientist / researcher für nlp,data scientist,na,35252.0,Know-Center,1,2.0,1,0,0,0,0,0,0,1,1,-1
Data Engineer,"ITFull-time
Data Engineer
ElsbethenAustria
Apply Now
Share
You are experienced in designing, building and running data pipelines meant to process large amounts of data? Join our Media Technology & IT team as Data Engineer!


In this position you’ll join a team of dedicated Data Scientists and Software Developers working on a new audience analytics solution by Red Bull. You’ll be responsible establishing a data pipeline which enables our Data Scientists to create and continuously improve statistical and machine learning models.

RESPONSIBILITIES
Areas that play to your strengths


All the responsibilities we'll trust you with:

Expand all
DEVELOPMENT & EXECUTION

In this exciting role as Data Engineer you´ll actively design and realise a new data pipeline for audience analytics use cases. You’ll implement business requirements within a development team eager on becoming an expert in their area of work.
TEAM & COLLABORATION

You´ll work in an agile team, which strongly believes in the culture of shared code ownership, pair programming and code reviews. While designing and implementing solutions, you´ll always be supported by your peers and vice versa. We believe in constant constructive feedback as crucial ingredient for personal development of skills.
RESEARCH & INNOVATION

Keeping up to date with new industry trends and standards is key for success and the future for our technology stack. In this exciting role, you’ll have the possibility to screen the market for potential new solutions and patterns, which could bring business value and improve our services. Having evaluated solutions and patterns, you’ll create POCs for showing the potential and usability within the team.
CONTINUOUS IMPROVEMENT

With the trend of an ever-increasing amounts of data, you’ll continuously work on optimizing your data pipeline to maintain high performance data queries and public cloud costs as low as possible without sacrificing business success.
EXPERIENCE
Your areas of knowledge and expertise


that matter most for this role:
At least 3 years practical experience
Ability to write efficient SQL statements (e.g. Google BigQuery)
Basic coding skills in Python or Java
Basic understanding in statistical techniques, including testing, regression, and classification
Understanding of CI/CD pipelines
Basic knowledge of container technologies and concepts, e.g. Docker
Strong communication skills and team player
Analytical and conceptual working style with high performance and result/solution orientation
High motivation and willing to constantly self-educate, learn new technologies and drive topics
Master’s or bachelor’s degree in Computer Science, Software Engineering, Mathematics, or some years of practical experience in this field
English fluent, German is a plus
Travel up to: 10%
Click here to learn more
WHERE YOU'LL BE BASED
ElsbethenSalzburg, Austria
AustriaRed Bull Global Headquarters
JOIN THE TEAM
Got what it takes?


In your application we want to see your personal style - what makes you tick and why you think your next opportunity is here with us.
Apply Now
Share

As an employer, we value diversity and support people in developing their potential and strengths, realizing their ideas and seizing opportunities. The job advertisement is aimed at all people equally, regardless of age, skin colour, religion, gender, sexual orientation or origin. Due to legal reasons we are obliged to disclose the minimum salary according to the collective agreement for this position, which is € 1.981 gross per month. However, our attractive compensation package is based on market-oriented salaries and is therefore significantly above the stated minimum salary.
Data Engineer
Apply Now
Share
RELATED OPPORTUNITIES
Looking for something else?
IT
Sales
Operations
Marketing
IT
Media
Finance
Legal
Administration
Car Engineering
Human Resources
Fashion and FanWear
Student Jobs

Austria
Type any country, city, state...

LEARN MORE
Become part of IT
ITFull-time
(Senior) Project Manager / ERP Logistics Subject Matter Expert
Elsbethen, Salzburg, Austria
deen
ITFull-time
IT Application/Project Manager
Elsbethen, Salzburg, Austria
de
ITFull-time
Software Engineer
Elsbethen, Salzburg, Austria
deen
17 jobs found
Red Bull
Giving wings to people and ideas since 1987


In the 1980’s Dietrich Mateschitz developed a formula known as the Red Bull Energy Drink. This was not only the launch of a completely new product, in fact it was the birth of a totally new product category.

The company beyond the can
Products
Company
Athletes
Media House
Culture
What drives usChasing our potential

Since the early days of Red Bull, an entrepreneurial mindset has always guided our approach to work and the environment we create:
Meaning
Find your meaning and use your strengths to achieve it!


The bigger reason why you work. To contribute and add value to something or someone.
Freedom & Responsibility
Take real responsibility for yourself and your work.


To have the freedom to work on something the way you want to.
Mastery
Love life, love work, love to challenge yourself!


Turn your talents into strengths to become excellent at what you do.
From the World of Red Bull
MusicSkateboardingEnduroMountain BikeMountain BikeMountain BikeMotoringGamingSkateboardingAthleticsClimbingBreaking
Keeping it real: How rapper Paul Wall stays true to himself
Read Story
Taylor Kirby’s run gets the win for Lotties Skateshop at Red Bull Solus
Read Story
Watch Kenda AMA Tennessee Knockout on FOX
Read Story
Loss Leader: Anthony Lopez
Read Story
Crankworx World Tour 2020
View Event Info
Mercedes Benz UCI Mountain Bike World Cup 2020
View Event Info
Watch Drift Masters European Championship on FS1
Read Story
G2 Esports star Caps has a message for his Worlds 2020 opponents
Read Story
Red Bull Bowl Rippers 2020: stripped back but with all the action
Read Story
She’s already top of the world, but Nafi Thiam wants to be even better
Read Story
The Last Ascent
Watch Film
Kaede
View Profile
Red Bull Jobs
Got Questions? We got you covered.
Jobs FAQ
(fr)Belgium (nl)BoliviaBosnia & HerzegovinaBrazilCanada (en)Canada (fr)ChileChinaColombiaCroatiaCzech East & AfricaNetherlandsNew AfricaSpainSwedenSwitzerland (de)Switzerland (fr)TaiwanThailandTurkeyUSAUkraineUnited Arab EmiratesUnited Kingdom
Share",4.1,"Red Bull
4.1",Elsbethen,10000+ Employees,1987,Manufacturing,Food & Beverage Manufacturing,Unknown / Non-Applicable,data engineer,data engineer,na,27734.0,Red Bull,-1,7.0,1,1,0,1,0,0,0,0,0,33
Data Scientist Engineer (m/w),"Innovative,
fast and
always on
the cutting
edge.

1000 employees
work at
14 sites
throughout
Europe

Russmedia is the most progressive media company in Europe. That’s why we provide a modern,
state-of-the-art atmosphere to work in; every employee is encouraged to adopt an entrepreneurial mind-
set and take responsibility for business outcomes. A high level of commitment to achieving goals is a
central aspect of the daily work at Russmedia.

We are looking for a Data Scientist Engineer (f/m) to join our team and to help taking our business to
the next level!

Data Scientist Engineer (f/m)
Job Description
These are your responsibilities
– B uild ETL pipelines in Python to extract data from various data sources including external

APIs, parse, clean, and load into optimized database tables
– D esign high-performance database schemas and optimize SQL queries
– I nvestigate data problems and identify patterns
– D raw inferences and conclusions, communicate results through reports, charts, or tables
– W ork closely with business stakeholders for reporting, data analysis, and ad-hoc data

investigations

Qualifications
This is you
– You have 2+ years relevant experience in Data Engineering
– You are a pro in Python programming
– Y ou are an expert in SQL and database design and bring a good knowledge of data structures,

algorithms, and statistics
– You feel comfortable with the AWS ecosystem (S3, Redshift, EC2)
– Y ou have experience with Google Analytics, Google Big Query, Google Tag Managerbuilding

ETL pipelines, Unix shell scripting (the workflow management tool Airflow is plus)
– You have an analytical mind and bake your decisions with data
– Y ou are involved in the whole process of ML model development. This includes everything

from root cause analysis, data-mining and feature engineering to training, validating and
implementing machine learning models, computing performance statistics and conducting
A/B-tests.

– You are fluent in English (both spoken and written) and a strong communicator

Additional information
What we offer you
– International colleagues and a great work environment
– Challenges and room for professional and personal development
– Responsibilities from day one and flat hierarchies
– Flexible working hours

Do you see a match here and would like to join the Russmedia
team?
We are looking forward to your application!
Russmedia Digital GmbH, Dominic Depaoli, Dominic.Depaoli@russmedia.com
Gutenbergstraße 1, 6858 Schwarzach
Further jobs: russmedia.com/karriere/offene-stellen-jobs/

Beste Betriebliche Bildung &
Arbeitgeber 2018 Lebenslanges Lernen
Österreich Sonderpreis",4.1,"Russmedia Digital GmbH
4.1",Schwarzach,201 to 500 Employees,1919,Media,Publishing,$50 to $100 million (USD),data scientist engineer ,data scientist,na,,Russmedia Digital GmbH,5,3.0,1,1,0,0,0,0,0,0,1,101
Senior Data Scientist (f/m/d),"Technological innovations have fundamentally changed the game. Today, our digitally savvy customers demand a premium experience across all channels and touchpoints. And that’s where Erste Group’s IT entities come into play. We believe that the future of banking is digital and we want to be among the creators and innovators who redefine it. We are ready to go the extra mile to wow our clients. You do too? Then hit the “apply now” button.

Senior Data Scientist (f/m/d)
Erste Group IT International (EG IT INT) is the IT service provider of Erste Group, supplying solutions to all entities. It provides development, implementation and integration as well as operation of group-wide solutions. Aimed at offering the best service at the best price, EG IT INT plays a key strategic role within Erste Group.

We are looking for a Senior Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.

In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for data, modeling and algorithms.

Your goal will be to help our company analyze trends to make better decisions.

Your Tasks

You deliver data science assignments and tasks in data driven projects/ programs in which learning from data and getting added value from data insights has a significant part (Innovation, Big Data, Data Science and AI, Data Analytics projects and similar)
You are ready to deliver independently simple and complex tasks and assignments, not only within his specification
You show genuine curiosity and thinking about innovative problem solutions
You collaborate together with our business units to identify and deliver solutions for critical business challenges
You deliver and support in all phases of the full Data Science process, but with different level of expectations and allocation, depending on the concrete project/prototype like business understanding, analytic approach, data requirements and collection, data understanding, modelling and algorithms, evaluation and interpretation, deployment and solution development support and monitoring and tuning support

Your Background

You have a Bachelor’s or Masters degree with a focus on quantitative disciplines

You have a good understanding of common machine learning algorithms and ability to teach junior data scientists across the organization

Your understanding of banking business is good

You are experienced in Data Analytics and Visualization Tooland have knowledge in machine learning areas (NLP, deep learning, etc.)

You gained advanced knowledge in Big Data Ecosystem components (SQOOP, HIVE, IMPALA, OOZIE, KUDU, etc.), and Cloud technologies (MS Azure, AWS)

You have knowledge of Python, R, SPARK, KNIME, etc. and first hand experience in visualization tools like Tableau, QLIK, R Shiny

You are able to handle the full data science lifecycle incl. deployment and operation of analytical models.

Your language skills: English full professional proficiency

Our Offer
We offer an autonomous and diversified position in an experienced team with international experience.
We support your professional and personal development at all times. Our employees appreciate attractive career opportunities, flexible working hours, numerous social benefits and a professional working atmosphere.

A competitive and performance-related salary dependent on your professional and personal qualifications is granted - the minimum wage for this position in accordance with the respective collective agreement is EUR 49.910,- gross per year

Erste Group considers the diversity of its employees as key to innovation and success. As employer we are proud to offer everyone equal chances, irrespective of age, skin colour, religious belief, gender, sexual orientation or origin

Discover and enjoy the benefits of Erste Group

Interested?

We are looking forward to fill the position at the earliest possible date - apply now! #believeinyourself

Degree of Employment: Full-Time

Primary Location: Vienna

Online bewerben

Follow us on:",-1.0,Erste Group IT International GmbH,Österreich,-1,-1,-1,-1,-1,senior data scientist ,data scientist,senior,49910.0,Erste Group IT International GmbH,-1,-1.0,1,0,1,0,1,0,0,1,1,-1
Senior Data Scientist (f/m/d),"Technological innovations have fundamentally changed the game. Today, our digitally savvy customers demand a premium experience across all channels and touchpoints. And that’s where Erste Group’s IT entities come into play. We believe that the future of banking is digital and we want to be among the creators and innovators who redefine it. We are ready to go the extra mile to wow our clients. You do too? Then hit the “apply now” button.

Senior Data Scientist (f/m/d)
Erste Group IT International (EG IT INT) is the IT service provider of Erste Group, supplying solutions to all entities. It provides development, implementation and integration as well as operation of group-wide solutions. Aimed at offering the best service at the best price, EG IT INT plays a key strategic role within Erste Group.

We are looking for a Senior Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.

In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for data, modeling and algorithms.

Your goal will be to help our company analyze trends to make better decisions.

Your Tasks

You deliver data science assignments and tasks in data driven projects/ programs in which learning from data and getting added value from data insights has a significant part (Innovation, Big Data, Data Science and AI, Data Analytics projects and similar)
You are ready to deliver independently simple and complex tasks and assignments, not only within his specification
You show genuine curiosity and thinking about innovative problem solutions
You collaborate together with our business units to identify and deliver solutions for critical business challenges
You deliver and support in all phases of the full Data Science process, but with different level of expectations and allocation, depending on the concrete project/prototype like business understanding, analytic approach, data requirements and collection, data understanding, modelling and algorithms, evaluation and interpretation, deployment and solution development support and monitoring and tuning support

Your Background

You have a Bachelor’s or Masters degree with a focus on quantitative disciplines

You have a good understanding of common machine learning algorithms and ability to teach junior data scientists across the organization

Your understanding of banking business is good

You are experienced in Data Analytics and Visualization Tooland have knowledge in machine learning areas (NLP, deep learning, etc.)

You gained advanced knowledge in Big Data Ecosystem components (SQOOP, HIVE, IMPALA, OOZIE, KUDU, etc.), and Cloud technologies (MS Azure, AWS)

You have knowledge of Python, R, SPARK, KNIME, etc. and first hand experience in visualization tools like Tableau, QLIK, R Shiny

You are able to handle the full data science lifecycle incl. deployment and operation of analytical models.

Your language skills: English full professional proficiency

Our Offer
We offer an autonomous and diversified position in an experienced team with international experience.
We support your professional and personal development at all times. Our employees appreciate attractive career opportunities, flexible working hours, numerous social benefits and a professional working atmosphere.

A competitive and performance-related salary dependent on your professional and personal qualifications is granted - the minimum wage for this position in accordance with the respective collective agreement is EUR 49.910,- gross per year

Erste Group considers the diversity of its employees as key to innovation and success. As employer we are proud to offer everyone equal chances, irrespective of age, skin colour, religious belief, gender, sexual orientation or origin

Discover and enjoy the benefits of Erste Group

Interested?

We are looking forward to fill the position at the earliest possible date - apply now! #believeinyourself

Degree of Employment: Full-Time

Primary Location: Vienna

Online bewerben

Follow us on:",-1.0,Erste Group IT International GmbH,Österreich,-1,-1,-1,-1,-1,senior data scientist ,data scientist,senior,49910.0,Erste Group IT International GmbH,-1,-1.0,1,0,1,0,1,0,0,1,1,-1
Senior Data Scientist (f/m/d),"Technological innovations have fundamentally changed the game. Today, our digitally savvy customers demand a premium experience across all channels and touchpoints. And that’s where Erste Group’s IT entities come into play. We believe that the future of banking is digital and we want to be among the creators and innovators who redefine it. We are ready to go the extra mile to wow our clients. You do too? Then hit the “apply now” button.

Senior Data Scientist (f/m/d)
Erste Group IT International (EG IT INT) is the IT service provider of Erste Group, supplying solutions to all entities. It provides development, implementation and integration as well as operation of group-wide solutions. Aimed at offering the best service at the best price, EG IT INT plays a key strategic role within Erste Group.

We are looking for a Senior Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.

In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for data, modeling and algorithms.

Your goal will be to help our company analyze trends to make better decisions.

Your Tasks

You deliver data science assignments and tasks in data driven projects/ programs in which learning from data and getting added value from data insights has a significant part (Innovation, Big Data, Data Science and AI, Data Analytics projects and similar)
You are ready to deliver independently simple and complex tasks and assignments, not only within his specification
You show genuine curiosity and thinking about innovative problem solutions
You collaborate together with our business units to identify and deliver solutions for critical business challenges
You deliver and support in all phases of the full Data Science process, but with different level of expectations and allocation, depending on the concrete project/prototype like business understanding, analytic approach, data requirements and collection, data understanding, modelling and algorithms, evaluation and interpretation, deployment and solution development support and monitoring and tuning support

Your Background

You have a Bachelor’s or Masters degree with a focus on quantitative disciplines

You have a good understanding of common machine learning algorithms and ability to teach junior data scientists across the organization

Your understanding of banking business is good

You are experienced in Data Analytics and Visualization Tooland have knowledge in machine learning areas (NLP, deep learning, etc.)

You gained advanced knowledge in Big Data Ecosystem components (SQOOP, HIVE, IMPALA, OOZIE, KUDU, etc.), and Cloud technologies (MS Azure, AWS)

You have knowledge of Python, R, SPARK, KNIME, etc. and first hand experience in visualization tools like Tableau, QLIK, R Shiny

You are able to handle the full data science lifecycle incl. deployment and operation of analytical models.

Your language skills: English full professional proficiency

Our Offer
We offer an autonomous and diversified position in an experienced team with international experience.
We support your professional and personal development at all times. Our employees appreciate attractive career opportunities, flexible working hours, numerous social benefits and a professional working atmosphere.

A competitive and performance-related salary dependent on your professional and personal qualifications is granted - the minimum wage for this position in accordance with the respective collective agreement is EUR 49.910,- gross per year

Erste Group considers the diversity of its employees as key to innovation and success. As employer we are proud to offer everyone equal chances, irrespective of age, skin colour, religious belief, gender, sexual orientation or origin

Discover and enjoy the benefits of Erste Group

Interested?

We are looking forward to fill the position at the earliest possible date - apply now! #believeinyourself

Degree of Employment: Full-Time

Primary Location: Vienna

Online bewerben

Follow us on:",-1.0,Erste Group IT International GmbH,Österreich,-1,-1,-1,-1,-1,senior data scientist ,data scientist,senior,49910.0,Erste Group IT International GmbH,-1,-1.0,1,0,1,0,1,0,0,1,1,-1
Senior Data Scientist (f/m/d),"Technological innovations have fundamentally changed the game. Today, our digitally savvy customers demand a premium experience across all channels and touchpoints. And that’s where Erste Group’s IT entities come into play. We believe that the future of banking is digital and we want to be among the creators and innovators who redefine it. We are ready to go the extra mile to wow our clients. You do too? Then hit the “apply now” button.

Senior Data Scientist (f/m/d)
Erste Group IT International (EG IT INT) is the IT service provider of Erste Group, supplying solutions to all entities. It provides development, implementation and integration as well as operation of group-wide solutions. Aimed at offering the best service at the best price, EG IT INT plays a key strategic role within Erste Group.

We are looking for a Senior Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.

In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for data, modeling and algorithms.

Your goal will be to help our company analyze trends to make better decisions.

Your Tasks

You deliver data science assignments and tasks in data driven projects/ programs in which learning from data and getting added value from data insights has a significant part (Innovation, Big Data, Data Science and AI, Data Analytics projects and similar)
You are ready to deliver independently simple and complex tasks and assignments, not only within his specification
You show genuine curiosity and thinking about innovative problem solutions
You collaborate together with our business units to identify and deliver solutions for critical business challenges
You deliver and support in all phases of the full Data Science process, but with different level of expectations and allocation, depending on the concrete project/prototype like business understanding, analytic approach, data requirements and collection, data understanding, modelling and algorithms, evaluation and interpretation, deployment and solution development support and monitoring and tuning support

Your Background

You have a Bachelor’s or Masters degree with a focus on quantitative disciplines

You have a good understanding of common machine learning algorithms and ability to teach junior data scientists across the organization

Your understanding of banking business is good

You are experienced in Data Analytics and Visualization Tooland have knowledge in machine learning areas (NLP, deep learning, etc.)

You gained advanced knowledge in Big Data Ecosystem components (SQOOP, HIVE, IMPALA, OOZIE, KUDU, etc.), and Cloud technologies (MS Azure, AWS)

You have knowledge of Python, R, SPARK, KNIME, etc. and first hand experience in visualization tools like Tableau, QLIK, R Shiny

You are able to handle the full data science lifecycle incl. deployment and operation of analytical models.

Your language skills: English full professional proficiency

Our Offer
We offer an autonomous and diversified position in an experienced team with international experience.
We support your professional and personal development at all times. Our employees appreciate attractive career opportunities, flexible working hours, numerous social benefits and a professional working atmosphere.

A competitive and performance-related salary dependent on your professional and personal qualifications is granted - the minimum wage for this position in accordance with the respective collective agreement is EUR 49.910,- gross per year

Erste Group considers the diversity of its employees as key to innovation and success. As employer we are proud to offer everyone equal chances, irrespective of age, skin colour, religious belief, gender, sexual orientation or origin

Discover and enjoy the benefits of Erste Group

Interested?

We are looking forward to fill the position at the earliest possible date - apply now! #believeinyourself

Degree of Employment: Full-Time

Primary Location: Vienna

Online bewerben

Follow us on:",-1.0,Erste Group IT International GmbH,Österreich,-1,-1,-1,-1,-1,senior data scientist ,data scientist,senior,49910.0,Erste Group IT International GmbH,-1,-1.0,1,0,1,0,1,0,0,1,1,-1
Data Analyst - Business Intelligence Qlik,"Clever Data Analyst (w/m/d)

Business Intelligence - Qlik

#yourmission

Create Qlik Sense/QlikView applications for enterprise data analysis
Implement customer projects independently and on your own responsibility
Conduct workshops and training courses for this purpose
Answer and solve ongoing requests from your customers via ticket system
Support the sales department in technical questions

#yoursuperpowers

Technical/business studies or comparable training
Knowledge of Business Intelligence (BI) and databases (SQL) is an advantage
Ideally, professional experience in the field of consulting
Understanding of tabular data models (star schema, snowflake schema)
Very good spoken and written German and English language skills

#beternasuperpowers

Mentoring partner assigned during induction period
Modern working conditions with flexible working hours
Exciting and challenging projects in different industries
Professional development and certifications
Optional pension scheme
International work environment

Our projects are diverse – our team is unique! With over 850 employees across 19 offices, BE-terna is one of the largest providers of business solutions in Europe. With passion for the latest software technologies, we enable our customers to work more easily and transparently. At BE-terna, every single employee can contribute to our exciting projects – teamwork is one of our greatest assets! To know more about us and our culture please visit our Career page.",3.8,"BE-terna GmbH
3.8",Traun,201 to 500 Employees,-1,-1,-1,Less than $1 million (USD),data analyst - business intelligence qlik,data analyst,na,,BE-terna GmbH,1,3.0,0,1,0,0,0,0,0,0,0,-1
Data Engineer for Digital Transformation Projects (m/w/d),"Als führender Hersteller von Kunststoffverpackungen sind wir immer auf der Suche nach Mitarbeitern, die mit uns gemeinsam die Zukunft der Kunststoffindustrie formen und nachhaltige Lösungen mutig vorantreiben. Dabei legen wir Wert auf ein humorvolles Klima, Kommunikation auf Augenhöhe und langfristige Arbeitsverhältnisse.

Für unser Team am Standort Kremsmünster/OÖ suchen wir eine/n engagierte/n und motivierte/n
Data Engineer for Digital Transformation Projects (m/w/d)

Greiner Packaging International GmbH, AT, Sattledt

fallweise bis zu 30%

ehestmöglich

Vollzeit

mehrjährige Berufserfahrung

Aufgaben
Planung und Aufbau einer Infrastruktur für eine optimale Erfassung, Transformation und Speicherung der Daten
Entwurf und Implementierung einer optimalen Datenarchitektur, um eine qualitative Basis für Visualisierungen und Analysen bereit zu stellen
Optimierung von Datenbanken (Indizierung, Partitionierung, …) und Erstellung von Abfragen
Mitarbeit in internationalen Digitalisierungsprojekten
Beratung und Unterstützung der Ansprechpartner für Datenvisualisierung und -analyse in den Werken

Anforderungen
Abgeschlossenes Studium mit Informatik-Bezug an einer Fachhochschule oder Universität oder äquivalente Berufserfahrung
Erfahrung mit Datenbank- und Programmiersprachen (SQL, Python, Java, etc.)
Erfahrung in der Bereitstellung einer skalierbaren Daten- und Analyseplattform
Selbstständige, eigenverantwortliche und strukturierte Arbeitsweise
Bereitschaft zur Eigenmotivation und zum Erlernen neuer Technologien in einem schnelllebigen Umfeld
Idealerweise Erfahrungen im IoT-Umfeld
Kenntnisse im Projektmanagement von Vorteil
Verhandlungssicheres in Deutsch (C1) und Englisch (B2) inklusive Fachsprache",3.9,"Greiner AG
3.9",Sattledt,10000+ Employees,1868,-1,-1,$1 to $2 billion (USD),data engineer for digital transformation projects ,data engineer,na,,Greiner AG,8,7.0,1,1,0,0,0,0,0,0,0,152
